Sampling site,Lat,long,Elevation,Distance to nearest DS,Habitat Type,Count Type,Species,Count
Kalidhar,33.05,74.65,845,28.48,Forest Patches,Point Count,Black-eared kite,3
Kalidhar,33.05,74.65,845,28.48,Forest Patches,Point Count,Steppe eagle,3
Kalidhar,33.05,74.65,845,28.48,Forest Patches,Point Count,Griffon vulture,7
Kalidhar,33.05,74.65,845,28.48,Forest Patches,Point Count,Himalayan Vulture  ,8
Kalidhar,33.05,74.65,845,28.48,Forest Patches,Point Count,Common kestrel,1
Kalidhar,33.05,74.65,845,28.48,Forest Patches,Point Count,Eurasian Hobby,1
Kalidhar,33.05,74.65,845,28.48,Forest Patches,Line Transect,Steppe eagle,3
Kalidhar,33.05,74.65,845,28.48,Forest Patches,Line Transect,Griffon vulture,7
Kalidhar,33.05,74.65,845,28.48,Forest Patches,Line Transect,Himalayan Vulture  ,7
Kalidhar,33.05,74.65,845,28.48,Forest Patches,Road Transect,Black-eared kite,7
Kalidhar,33.05,74.65,845,28.48,Forest Patches,Road Transect,Steppe eagle,4
Kalidhar,33.05,74.65,845,28.48,Forest Patches,Road Transect,Griffon vulture,8
Kalidhar,33.05,74.65,845,28.48,Forest Patches,Road Transect,Himalayan Vulture  ,9
Kalidhar,33.05,74.65,845,28.48,Forest Patches,Road Transect,Common kestrel,1
Kalidhar,33.05,74.65,845,28.48,Forest Patches,Road Transect,Long-legged Buzzard,3
Kalidhar,33.05,74.65,845,28.48,Forest Patches,Road Transect,White-eyed Buzzard   ,3
Kalidhar,33.05,74.65,845,28.48,Forest Patches,Road Transect,Crested Serpent Eagle,2
Kalidhar,33.05,74.65,845,28.48,Forest Patches,Road Transect,Common Buzzard,1
Kalidhar,33.05,74.65,845,28.48,Forest Patches,Road Transect,Peregrine Falcon,1
Billawar,32.648,75.588,1176,23.01,Forest Patches,Point Count,Black-eared kite,6
Billawar,32.648,75.588,1176,23.01,Forest Patches,Point Count,Egyptian vulture,2
Billawar,32.648,75.588,1176,23.01,Forest Patches,Point Count,Steppe eagle,12
Billawar,32.648,75.588,1176,23.01,Forest Patches,Point Count,Black kite,5
Billawar,32.648,75.588,1176,23.01,Forest Patches,Point Count,Griffon vulture,15
Billawar,32.648,75.588,1176,23.01,Forest Patches,Point Count,Himalayan Vulture  ,13
Billawar,32.648,75.588,1176,23.01,Forest Patches,Point Count,Shikra,2
Billawar,32.648,75.588,1176,23.01,Forest Patches,Point Count,White-rumped Vulture,5
Billawar,32.648,75.588,1176,23.01,Forest Patches,Line Transect,Black-eared kite,2
Billawar,32.648,75.588,1176,23.01,Forest Patches,Line Transect,Steppe eagle,4
Billawar,32.648,75.588,1176,23.01,Forest Patches,Line Transect,Griffon vulture,5
Billawar,32.648,75.588,1176,23.01,Forest Patches,Line Transect,Himalayan Vulture  ,7
Billawar,32.648,75.588,1176,23.01,Forest Patches,Line Transect,Black-shouldered Kite,5
Billawar,32.648,75.588,1176,23.01,Forest Patches,Line Transect,White-eyed Buzzard   ,1
Billawar,32.648,75.588,1176,23.01,Forest Patches,Line Transect,Eurasian Hobby,1
Billawar,32.648,75.588,1176,23.01,Forest Patches,Line Transect,Bonelli's Eagle,1
Billawar,32.648,75.588,1176,23.01,Forest Patches,Road Transect,Black-eared kite,2
Billawar,32.648,75.588,1176,23.01,Forest Patches,Road Transect,Steppe eagle,8
Billawar,32.648,75.588,1176,23.01,Forest Patches,Road Transect,Griffon vulture,5
Billawar,32.648,75.588,1176,23.01,Forest Patches,Road Transect,Himalayan Vulture  ,6
Billawar,32.648,75.588,1176,23.01,Forest Patches,Road Transect,Black-shouldered Kite,3
Billawar,32.648,75.588,1176,23.01,Forest Patches,Road Transect,Shikra,5
Billawar,32.648,75.588,1176,23.01,Forest Patches,Road Transect,White-eyed Buzzard   ,1
Billawar,32.648,75.588,1176,23.01,Forest Patches,Road Transect,Eurasian Hobby,1
Galak,32.585,75.352,610,0.21,Forest Patches,Point Count,Black-eared kite,8
Galak,32.585,75.352,610,0.21,Forest Patches,Point Count,Steppe eagle,89
Galak,32.585,75.352,610,0.21,Forest Patches,Point Count,Griffon vulture,11
Galak,32.585,75.352,610,0.21,Forest Patches,Point Count,Himalayan Vulture  ,9
Galak,32.585,75.352,610,0.21,Forest Patches,Point Count,Long-legged Buzzard,1
Galak,32.585,75.352,610,0.21,Forest Patches,Point Count,White-rumped Vulture,5
Galak,32.585,75.352,610,0.21,Forest Patches,Point Count,Cinereous Vulture,6
Galak,32.585,75.352,610,0.21,Forest Patches,Line Transect,Black-eared kite,5
Galak,32.585,75.352,610,0.21,Forest Patches,Line Transect,Steppe eagle,10
Galak,32.585,75.352,610,0.21,Forest Patches,Line Transect,Black kite,5
Galak,32.585,75.352,610,0.21,Forest Patches,Line Transect,Himalayan Vulture  ,4
Galak,32.585,75.352,610,0.21,Forest Patches,Line Transect,Black-shouldered Kite,7
Galak,32.585,75.352,610,0.21,Forest Patches,Line Transect,Common kestrel,2
Galak,32.585,75.352,610,0.21,Forest Patches,Line Transect,Long-legged Buzzard,2
Galak,32.585,75.352,610,0.21,Forest Patches,Line Transect,Oriental honey Buzzard,2
Galak,32.585,75.352,610,0.21,Forest Patches,Line Transect,Eurasian Sparrowhawk,4
Galak,32.585,75.352,610,0.21,Forest Patches,Road Transect,Black-eared kite,7
Galak,32.585,75.352,610,0.21,Forest Patches,Road Transect,Egyptian vulture,5
Galak,32.585,75.352,610,0.21,Forest Patches,Road Transect,Steppe eagle,8
Galak,32.585,75.352,610,0.21,Forest Patches,Road Transect,Black kite,3
Galak,32.585,75.352,610,0.21,Forest Patches,Road Transect,Griffon vulture,3
Galak,32.585,75.352,610,0.21,Forest Patches,Road Transect,Himalayan Vulture  ,7
Galak,32.585,75.352,610,0.21,Forest Patches,Road Transect,Cinereous Vulture,2
Nandini WLS,32.851,74.956,610,15.16,Forest Patches,Point Count,Black-eared kite,9
Nandini WLS,32.851,74.956,610,15.16,Forest Patches,Point Count,Black kite,5
Nandini WLS,32.851,74.956,610,15.16,Forest Patches,Point Count,Griffon vulture,11
Nandini WLS,32.851,74.956,610,15.16,Forest Patches,Point Count,Himalayan Vulture  ,6
Nandini WLS,32.851,74.956,610,15.16,Forest Patches,Point Count,Black-shouldered Kite,4
Nandini WLS,32.851,74.956,610,15.16,Forest Patches,Point Count,Shikra,3
Nandini WLS,32.851,74.956,610,15.16,Forest Patches,Point Count,Common kestrel,2
Nandini WLS,32.851,74.956,610,15.16,Forest Patches,Road Transect,Black-eared kite,6
Nandini WLS,32.851,74.956,610,15.16,Forest Patches,Road Transect,Black kite,2
Nandini WLS,32.851,74.956,610,15.16,Forest Patches,Road Transect,Griffon vulture,8
Nandini WLS,32.851,74.956,610,15.16,Forest Patches,Road Transect,Himalayan Vulture  ,6
Nandini WLS,32.851,74.956,610,15.16,Forest Patches,Road Transect,Black-shouldered Kite,1
Nandini WLS,32.851,74.956,610,15.16,Forest Patches,Road Transect,Shikra,1
Jasrota WLS,32.484,75.399,560,7.95,Forest Patches,Point Count,Black-eared kite,4
Jasrota WLS,32.484,75.399,560,7.95,Forest Patches,Point Count,Egyptian vulture,5
Jasrota WLS,32.484,75.399,560,7.95,Forest Patches,Point Count,Steppe eagle,7
Jasrota WLS,32.484,75.399,560,7.95,Forest Patches,Point Count,Griffon vulture,2
Jasrota WLS,32.484,75.399,560,7.95,Forest Patches,Point Count,Himalayan Vulture  ,7
Jasrota WLS,32.484,75.399,560,7.95,Forest Patches,Point Count,Shikra,1
Jasrota WLS,32.484,75.399,560,7.95,Forest Patches,Point Count,Short-toed Snake Eagle,1
Jasrota WLS,32.484,75.399,560,7.95,Forest Patches,Line Transect,Egyptian vulture,1
Jasrota WLS,32.484,75.399,560,7.95,Forest Patches,Line Transect,Black kite,2
Jasrota WLS,32.484,75.399,560,7.95,Forest Patches,Line Transect,Griffon vulture,1
Jasrota WLS,32.484,75.399,560,7.95,Forest Patches,Line Transect,Himalayan Vulture  ,2
Jasrota WLS,32.484,75.399,560,7.95,Forest Patches,Line Transect,Shikra,1
Jasrota WLS,32.484,75.399,560,7.95,Forest Patches,Line Transect,Long-legged Buzzard,1
Jasrota WLS,32.484,75.399,560,7.95,Forest Patches,Line Transect,Booted Eagle,1
Jasrota WLS,32.484,75.399,560,7.95,Forest Patches,Road Transect,Black-eared kite,3
Jasrota WLS,32.484,75.399,560,7.95,Forest Patches,Road Transect,Steppe eagle,2
Jasrota WLS,32.484,75.399,560,7.95,Forest Patches,Road Transect,Himalayan Vulture  ,4
Jasrota WLS,32.484,75.399,560,7.95,Forest Patches,Road Transect,Shikra,2
Jasrota WLS,32.484,75.399,560,7.95,Forest Patches,Road Transect,Short-toed Snake Eagle,3
Jasrota WLS,32.484,75.399,560,7.95,Forest Patches,Road Transect,Booted Eagle,1
Sarain,32.622,75.097,475,9.81,Forest Patches,Point Count,Black-eared kite,3
Sarain,32.622,75.097,475,9.81,Forest Patches,Point Count,Egyptian vulture,4
Sarain,32.622,75.097,475,9.81,Forest Patches,Point Count,Griffon vulture,4
Sarain,32.622,75.097,475,9.81,Forest Patches,Point Count,Himalayan Vulture  ,7
Sarain,32.622,75.097,475,9.81,Forest Patches,Point Count,Common kestrel,1
Sarain,32.622,75.097,475,9.81,Forest Patches,Point Count,Long-legged Buzzard,1
Sarain,32.622,75.097,475,9.81,Forest Patches,Point Count,White-eyed Buzzard   ,2
Sarain,32.622,75.097,475,9.81,Forest Patches,Point Count,Oriental honey Buzzard,2
Sarain,32.622,75.097,475,9.81,Forest Patches,Road Transect,Black-eared kite,1
Sarain,32.622,75.097,475,9.81,Forest Patches,Road Transect,Egyptian vulture,1
Sarain,32.622,75.097,475,9.81,Forest Patches,Road Transect,Griffon vulture,2
Sarain,32.622,75.097,475,9.81,Forest Patches,Road Transect,Himalayan Vulture  ,3
Sarain,32.622,75.097,475,9.81,Forest Patches,Road Transect,Common kestrel,2
Sarain,32.622,75.097,475,9.81,Forest Patches,Road Transect,Long-legged Buzzard,2
Bhed Devta,32.793,74.977,447,17.37,Forest Patches,Point Count,Black-eared kite,6
Bhed Devta,32.793,74.977,447,17.37,Forest Patches,Point Count,Egyptian vulture,4
Bhed Devta,32.793,74.977,447,17.37,Forest Patches,Point Count,Black kite,2
Bhed Devta,32.793,74.977,447,17.37,Forest Patches,Point Count,Himalayan Vulture  ,5
Bhed Devta,32.793,74.977,447,17.37,Forest Patches,Point Count,Black-shouldered Kite,1
Bhed Devta,32.793,74.977,447,17.37,Forest Patches,Line Transect,Black-shouldered Kite,2
Bhed Devta,32.793,74.977,447,17.37,Forest Patches,Line Transect,Shikra,2
Bhed Devta,32.793,74.977,447,17.37,Forest Patches,Line Transect,Common kestrel,2
Badgah (Surinsar),32.781,75.011,632,13.91,Forest Patches,Point Count,Black-eared kite,5
Badgah (Surinsar),32.781,75.011,632,13.91,Forest Patches,Point Count,Egyptian vulture,2
Badgah (Surinsar),32.781,75.011,632,13.91,Forest Patches,Point Count,Black kite,2
Badgah (Surinsar),32.781,75.011,632,13.91,Forest Patches,Point Count,Griffon vulture,11
Badgah (Surinsar),32.781,75.011,632,13.91,Forest Patches,Point Count,Himalayan Vulture  ,8
Badgah (Surinsar),32.781,75.011,632,13.91,Forest Patches,Point Count,White-eyed Buzzard   ,1
Badgah (Surinsar),32.781,75.011,632,13.91,Forest Patches,Road Transect,Black kite,2
Badgah (Surinsar),32.781,75.011,632,13.91,Forest Patches,Road Transect,Black-shouldered Kite,2
Badgah (Surinsar),32.781,75.011,632,13.91,Forest Patches,Road Transect,White-eyed Buzzard   ,1
Badgah (Surinsar),32.781,75.011,632,13.91,Forest Patches,Road Transect,Crested Serpent eagle,3
Bhuttal (Mansar),32.717,75.126,674,1.27,Forest Patches,Point Count,Black-eared kite,4
Bhuttal (Mansar),32.717,75.126,674,1.27,Forest Patches,Point Count,Egyptian vulture,2
Bhuttal (Mansar),32.717,75.126,674,1.27,Forest Patches,Point Count,Steppe eagle,5
Bhuttal (Mansar),32.717,75.126,674,1.27,Forest Patches,Point Count,Black kite,1
Bhuttal (Mansar),32.717,75.126,674,1.27,Forest Patches,Point Count,Griffon vulture,13
Bhuttal (Mansar),32.717,75.126,674,1.27,Forest Patches,Point Count,Himalayan Vulture  ,11
Bhuttal (Mansar),32.717,75.126,674,1.27,Forest Patches,Point Count,Crested Serpent eagle,3
Bhuttal (Mansar),32.717,75.126,674,1.27,Forest Patches,Road Transect,Black-eared kite,3
Bhuttal (Mansar),32.717,75.126,674,1.27,Forest Patches,Road Transect,Egyptian vulture,5
Bhuttal (Mansar),32.717,75.126,674,1.27,Forest Patches,Road Transect,Black kite,3
Bhuttal (Mansar),32.717,75.126,674,1.27,Forest Patches,Road Transect,Black-shouldered Kite,3
Bhuttal (Mansar),32.717,75.126,674,1.27,Forest Patches,Road Transect,Shikra,2
Bhuttal (Mansar),32.717,75.126,674,1.27,Forest Patches,Road Transect,Oriental honey Buzzard,3
Bhuttal (Mansar),32.717,75.126,674,1.27,Forest Patches,Road Transect,Crested Serpent eagle,1
Kumbi,32.712,75.108,772,2.16,Forest Patches,Point Count,Egyptian vulture,9
Kumbi,32.712,75.108,772,2.16,Forest Patches,Point Count,Steppe eagle,50
Kumbi,32.712,75.108,772,2.16,Forest Patches,Point Count,Griffon vulture,29
Kumbi,32.712,75.108,772,2.16,Forest Patches,Point Count,Himalayan Vulture  ,11
Kumbi,32.712,75.108,772,2.16,Forest Patches,Point Count,White-rumped Vulture,1
Kumbi,32.712,75.108,772,2.16,Forest Patches,Point Count,Crested Serpent eagle,2
Kumbi,32.712,75.108,772,2.16,Forest Patches,Point Count,Cinereous vulture,3
Kumbi,32.712,75.108,772,2.16,Forest Patches,Road Transect,Steppe eagle,5
Kumbi,32.712,75.108,772,2.16,Forest Patches,Road Transect,Griffon vulture,8
Kumbi,32.712,75.108,772,2.16,Forest Patches,Road Transect,Himalayan Vulture  ,4
Kumbi,32.712,75.108,772,2.16,Forest Patches,Road Transect,Common kestrel,2
Kumbi,32.712,75.108,772,2.16,Forest Patches,Road Transect,Eurasian Marsh harrier,2
Kumbi,32.712,75.108,772,2.16,Forest Patches,Road Transect,Oriental honey Buzzard,1
Kumbi,32.712,75.108,772,2.16,Forest Patches,Road Transect,Crested Serpent eagle,2
Kumbi,32.712,75.108,772,2.16,Forest Patches,Road Transect,Common Buzzard,2
Kumbi,32.712,75.108,772,2.16,Forest Patches,Road Transect,Hen harrier,2
Kumbi,32.712,75.108,772,2.16,Forest Patches,Road Transect,Eurasian Hobby,2
Ujh Barrage,32.475,75.426,386,10.35,Forest-Farmland Interfaces,Point Count,Black-eared kite,20
Ujh Barrage,32.475,75.426,386,10.35,Forest-Farmland Interfaces,Point Count,Egyptian vulture,9
Ujh Barrage,32.475,75.426,386,10.35,Forest-Farmland Interfaces,Point Count,Steppe eagle,2
Ujh Barrage,32.475,75.426,386,10.35,Forest-Farmland Interfaces,Point Count,Black kite,11
Ujh Barrage,32.475,75.426,386,10.35,Forest-Farmland Interfaces,Point Count,Black-shouldered Kite,5
Ujh Barrage,32.475,75.426,386,10.35,Forest-Farmland Interfaces,Point Count,Common kestrel,2
Ujh Barrage,32.475,75.426,386,10.35,Forest-Farmland Interfaces,Point Count,Short-toed Snake Eagle,1
Ujh Barrage,32.475,75.426,386,10.35,Forest-Farmland Interfaces,Point Count,Common Buzzard,1
Ujh Barrage,32.475,75.426,386,10.35,Forest-Farmland Interfaces,Point Count,Peregrine Falcon,2
Ujh Barrage,32.475,75.426,386,10.35,Forest-Farmland Interfaces,Point Count,Eurasian Hobby,1
Ujh Barrage,32.475,75.426,386,10.35,Forest-Farmland Interfaces,Line Transect,Eurasian Marsh harrier,2
Ujh Barrage,32.475,75.426,386,10.35,Forest-Farmland Interfaces,Line Transect,Long-legged Buzzard,1
Ujh Barrage,32.475,75.426,386,10.35,Forest-Farmland Interfaces,Line Transect,White-eyed Buzzard   ,1
Ujh Barrage,32.475,75.426,386,10.35,Forest-Farmland Interfaces,Line Transect,Booted Eagle,3
Ujh Barrage,32.475,75.426,386,10.35,Forest-Farmland Interfaces,Line Transect,Hen harrier,3
Ujh Barrage,32.475,75.426,386,10.35,Forest-Farmland Interfaces,Line Transect,Eurasian Hobby,1
Ujh Barrage,32.475,75.426,386,10.35,Forest-Farmland Interfaces,Line Transect,Bonelli’s Eagle,2
Ujh Barrage,32.475,75.426,386,10.35,Forest-Farmland Interfaces,Line Transect,Greater Spotted Eagle,2
Ujh Barrage,32.475,75.426,386,10.35,Forest-Farmland Interfaces,Road Transect,Black-eared kite,11
Ujh Barrage,32.475,75.426,386,10.35,Forest-Farmland Interfaces,Road Transect,Egyptian vulture,5
Ujh Barrage,32.475,75.426,386,10.35,Forest-Farmland Interfaces,Road Transect,Black kite,2
Ujh Barrage,32.475,75.426,386,10.35,Forest-Farmland Interfaces,Road Transect,Black-shouldered Kite,2
Ujh Barrage,32.475,75.426,386,10.35,Forest-Farmland Interfaces,Road Transect,Common kestrel,2
Ujh Barrage,32.475,75.426,386,10.35,Forest-Farmland Interfaces,Road Transect,Short-toed Snake Eagle,3
Ujh Barrage,32.475,75.426,386,10.35,Forest-Farmland Interfaces,Road Transect,Crested Serpent eagle,1
Ujh Barrage,32.475,75.426,386,10.35,Forest-Farmland Interfaces,Road Transect,Eastern Imperial Eagle,2
